customer_id,age,gender,item_purchased,category,purchase_amount_(usd),location,size,color,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,promo_code_used,previous_purchases,preferred_payment_method,frequency_of_purchases,price,date,month,year
2874,44,Female,Sweater,Clothing,40,Thirumangalam,M,Teal,Spring,2.6,No,PayPal,Free Shipping,No,No,8,Bank Transfer,Monthly,3320,2021-11-19,11,2021
2147,48,Male,Sunglasses,Accessories,23,BB Kulam,XL,White,Summer,4.6,No,Debit Card,Standard,No,No,45,PayPal,Every 3 Months,1909,2021-07-11,7,2021
421,32,Male,Socks,Clothing,54,BB Kulam,S,Peach,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,18,Debit Card,Bi-Weekly,4482,2021-02-10,2,2021
1596,34,Male,Backpack,Accessories,35,Iyer Bungalow,S,Magenta,Spring,3.5,No,Cash,Standard,Yes,Yes,45,Debit Card,Fortnightly,2905,2022-07-17,7,2022
1327,40,Male,Shoes,Footwear,50,Ponmeni,M,Indigo,Spring,4.6,No,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Monthly,4150,2020-03-14,3,2020
2944,29,Female,Shirt,Clothing,44,Palangantham,M,Orange,Spring,3.4,No,Debit Card,Standard,No,No,37,Credit Card,Monthly,3652,2021-10-09,10,2021
1194,40,Male,Jacket,Outerwear,55,Palangantham,L,Pink,Fall,5.0,No,Venmo,2-Day Shipping,Yes,Yes,18,Credit Card,Fortnightly,4565,2020-02-18,2,2020
1961,57,Male,Jeans,Clothing,72,Thirumangalam,L,Red,Summer,3.3,No,Bank Transfer,2-Day Shipping,No,No,40,Credit Card,Annually,5976,2020-05-19,5,2020
3286,58,Female,Hat,Accessories,31,Palangantham,XL,Magenta,Fall,4.6,No,PayPal,Free Shipping,No,No,11,Cash,Weekly,2573,2024-06-08,6,2024
3516,19,Female,Dress,Clothing,80,Iyer Bungalow,XL,Charcoal,Winter,4.0,No,PayPal,Next Day Air,No,No,16,Debit Card,Bi-Weekly,6640,2021-02-28,2,2021
1385,46,Male,Sneakers,Footwear,96,Palangantham,M,Beige,Fall,4.6,No,Cash,Standard,Yes,Yes,8,Bank Transfer,Weekly,7968,2024-03-22,3,2024
3875,70,Female,Sweater,Clothing,54,Iyer Bungalow,XL,Beige,Summer,3.9,No,Cash,2-Day Shipping,No,No,33,Credit Card,Bi-Weekly,4482,2023-08-24,8,2023
189,50,Male,Hoodie,Clothing,53,Ponmeni,M,Pink,Spring,3.1,Yes,Credit Card,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly,4399,2020-09-24,9,2020
2700,25,Female,Boots,Footwear,96,BB Kulam,M,Violet,Fall,3.6,No,Venmo,2-Day Shipping,No,No,49,Debit Card,Annually,7968,2024-08-18,8,2024
3610,21,Female,Socks,Clothing,39,Meenakshi Nagar,M,Cyan,Summer,3.0,No,Debit Card,2-Day Shipping,No,No,31,Debit Card,Monthly,3237,2020-12-23,12,2020
711,22,Male,Scarf,Accessories,91,Iyer Bungalow,L,Turquoise,Spring,4.1,Yes,Bank Transfer,Standard,Yes,Yes,26,PayPal,Fortnightly,7553,2023-01-08,1,2023
3737,42,Female,Jeans,Clothing,56,KK Nagar,M,Red,Spring,4.6,No,Cash,Store Pickup,No,No,2,PayPal,Every 3 Months,4648,2020-04-04,4,2020
1386,41,Male,Jewelry,Accessories,64,Chinna Chokikulam,M,Indigo,Fall,2.6,No,Debit Card,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly,5312,2020-11-11,11,2020
1055,18,Male,Shorts,Clothing,96,Meenakshi Nagar,L,Cyan,Winter,4.9,No,Debit Card,Express,Yes,Yes,48,PayPal,Quarterly,7968,2021-07-15,7,2021
235,20,Male,Gloves,Accessories,39,BB Kulam,S,Silver,Summer,3.7,Yes,PayPal,Next Day Air,Yes,Yes,24,Credit Card,Weekly,3237,2021-10-18,10,2021
337,36,Male,Hat,Accessories,81,CS Nagar,S,Orange,Fall,4.4,Yes,Debit Card,Express,Yes,Yes,16,PayPal,Annually,6723,2020-06-01,6,2020
540,49,Male,Coat,Outerwear,48,KK Nagar,M,Violet,Winter,4.0,Yes,Cash,Store Pickup,Yes,Yes,49,Debit Card,Weekly,3984,2024-07-20,7,2024
2334,33,Male,Shirt,Clothing,77,CS Nagar,M,Beige,Spring,3.8,No,Cash,Next Day Air,No,No,1,PayPal,Every 3 Months,6391,2022-06-25,6,2022
1886,26,Male,Jewelry,Accessories,53,CS Nagar,S,Maroon,Winter,4.4,No,Credit Card,Standard,No,No,35,Cash,Monthly,4399,2023-02-03,2,2023
7,63,Male,Shirt,Clothing,85,Iyer Bungalow,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,49,Cash,Quarterly,7055,2020-03-04,3,2020
787,70,Male,Hat,Accessories,21,Thirumangalam,S,Teal,Winter,4.8,Yes,Credit Card,Express,Yes,Yes,16,Bank Transfer,Every 3 Months,1743,2024-04-16,4,2024
1578,68,Male,Boots,Footwear,34,BB Kulam,S,Olive,Spring,4.0,No,Debit Card,Standard,Yes,Yes,7,Venmo,Fortnightly,2822,2022-01-16,1,2022
3252,25,Female,Coat,Outerwear,20,KK Nagar,M,Gold,Winter,3.7,No,Debit Card,Standard,No,No,39,Venmo,Quarterly,1660,2020-07-18,7,2020
747,40,Male,Sandals,Footwear,45,Palangantham,M,Red,Winter,2.5,Yes,Debit Card,Free Shipping,Yes,Yes,47,Credit Card,Annually,3735,2022-06-16,6,2022
1936,19,Male,Blouse,Clothing,68,Thirumangalam,XL,Violet,Spring,4.8,No,Debit Card,Free Shipping,No,No,45,Cash,Fortnightly,5644,2022-06-01,6,2022
1487,25,Male,Sneakers,Footwear,73,Anna Nagar,S,Yellow,Spring,5.0,No,Cash,Free Shipping,Yes,Yes,23,Venmo,Every 3 Months,6059,2022-06-09,6,2022
3359,56,Female,T-shirt,Clothing,59,BB Kulam,M,Magenta,Fall,3.4,No,Debit Card,2-Day Shipping,No,No,26,Cash,Annually,4897,2021-02-09,2,2021
3259,31,Female,Shoes,Footwear,51,Palangantham,M,Magenta,Spring,4.3,No,Debit Card,Express,No,No,11,Credit Card,Bi-Weekly,4233,2021-08-21,8,2021
468,19,Male,Backpack,Accessories,51,Palangantham,S,Orange,Spring,4.5,Yes,Credit Card,2-Day Shipping,Yes,Yes,37,Debit Card,Every 3 Months,4233,2024-01-14,1,2024
686,70,Male,Blouse,Clothing,71,CS Nagar,XL,Magenta,Winter,3.5,Yes,Credit Card,Standard,Yes,Yes,32,Cash,Fortnightly,5893,2024-09-24,9,2024
1482,64,Male,Skirt,Clothing,33,BB Kulam,S,Gray,Spring,3.3,No,Credit Card,Standard,Yes,Yes,31,PayPal,Quarterly,2739,2020-11-09,11,2020
2984,60,Female,Pants,Clothing,44,Anna Nagar,M,Charcoal,Winter,2.8,No,Venmo,2-Day Shipping,No,No,1,Credit Card,Quarterly,3652,2020-09-10,9,2020
216,62,Male,Scarf,Accessories,64,Anna Nagar,S,Orange,Spring,2.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,24,PayPal,Bi-Weekly,5312,2021-11-03,11,2021
475,62,Male,Sweater,Clothing,76,CS Nagar,XL,Maroon,Summer,2.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,15,Cash,Quarterly,6308,2023-05-05,5,2023
870,38,Male,Hat,Accessories,54,Thirumangalam,M,Silver,Spring,2.7,Yes,PayPal,2-Day Shipping,Yes,Yes,33,PayPal,Weekly,4482,2021-09-29,9,2021
134,52,Male,Sweater,Clothing,65,Thirumangalam,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,25,Venmo,Annually,5395,2024-07-02,7,2024
3861,57,Female,Sunglasses,Accessories,64,Anna Nagar,M,Turquoise,Summer,4.4,No,Credit Card,Next Day Air,No,No,44,Cash,Annually,5312,2024-06-10,6,2024
1696,54,Male,Hat,Accessories,95,Anna Nagar,S,Yellow,Fall,4.7,No,Venmo,2-Day Shipping,No,No,1,PayPal,Fortnightly,7885,2021-02-27,2,2021
534,57,Male,Sandals,Footwear,60,CS Nagar,L,Pink,Spring,4.5,Yes,PayPal,Next Day Air,Yes,Yes,17,Debit Card,Weekly,4980,2021-10-22,10,2021
105,55,Male,Sunglasses,Accessories,24,Anna Nagar,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,1992,2022-12-26,12,2022
651,34,Male,Gloves,Accessories,40,Iyer Bungalow,M,Magenta,Spring,3.9,Yes,Venmo,Next Day Air,Yes,Yes,12,Bank Transfer,Annually,3320,2021-07-31,7,2021
2560,48,Male,Belt,Accessories,71,BB Kulam,S,Green,Winter,4.0,No,Venmo,Free Shipping,No,No,21,Debit Card,Every 3 Months,5893,2020-07-03,7,2020
2749,24,Female,Jacket,Outerwear,98,Iyer Bungalow,L,Turquoise,Spring,3.0,No,Cash,Free Shipping,No,No,16,Venmo,Annually,8134,2024-01-20,1,2024
198,59,Male,Scarf,Accessories,78,BB Kulam,M,Black,Fall,3.2,Yes,Debit Card,2-Day Shipping,Yes,Yes,41,Credit Card,Monthly,6474,2023-11-02,11,2023
1114,28,Male,Sunglasses,Accessories,80,Chinna Chokikulam,M,Purple,Summer,4.8,No,Cash,Next Day Air,Yes,Yes,11,PayPal,Bi-Weekly,6640,2021-06-13,6,2021
3749,34,Female,Backpack,Accessories,25,CS Nagar,M,Violet,Fall,3.9,No,PayPal,2-Day Shipping,No,No,3,Venmo,Annually,2075,2022-01-07,1,2022
3441,45,Female,Handbag,Accessories,63,Palangantham,L,Magenta,Fall,4.3,No,Credit Card,2-Day Shipping,No,No,2,PayPal,Weekly,5229,2020-08-12,8,2020
1314,70,Male,Shoes,Footwear,28,CS Nagar,M,Lavender,Summer,2.6,No,Cash,Free Shipping,Yes,Yes,23,Credit Card,Bi-Weekly,2324,2022-11-17,11,2022
1150,21,Male,Jewelry,Accessories,42,Meenakshi Nagar,L,Cyan,Spring,3.3,No,Cash,Store Pickup,Yes,Yes,40,Venmo,Annually,3486,2023-02-11,2,2023
2240,42,Male,Jewelry,Accessories,96,Anna Nagar,L,Indigo,Summer,3.8,No,Bank Transfer,2-Day Shipping,No,No,41,Credit Card,Every 3 Months,7968,2022-04-06,4,2022
520,19,Male,Belt,Accessories,54,Thirumangalam,L,Blue,Summer,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,17,Bank Transfer,Quarterly,4482,2023-05-18,5,2023
3684,30,Female,Socks,Clothing,77,Thirumangalam,M,Purple,Winter,3.0,No,Bank Transfer,Free Shipping,No,No,17,Venmo,Fortnightly,6391,2023-08-08,8,2023
1662,64,Male,Gloves,Accessories,86,Meenakshi Nagar,S,Beige,Summer,2.7,No,Credit Card,2-Day Shipping,Yes,Yes,21,Debit Card,Quarterly,7138,2022-09-01,9,2022
1391,25,Male,Hat,Accessories,38,CS Nagar,M,Maroon,Summer,4.3,No,Venmo,Standard,Yes,Yes,42,Debit Card,Weekly,3154,2020-12-01,12,2020
2745,38,Female,Shirt,Clothing,66,Palangantham,M,Silver,Winter,3.3,No,Cash,Store Pickup,No,No,40,Credit Card,Monthly,5478,2020-06-16,6,2020
1456,60,Male,Pants,Clothing,79,Thirumangalam,L,Silver,Fall,4.9,No,Debit Card,Express,Yes,Yes,1,PayPal,Every 3 Months,6557,2023-02-28,2,2023
1640,41,Male,Gloves,Accessories,65,Palangantham,L,Blue,Summer,3.3,No,Bank Transfer,Free Shipping,Yes,Yes,50,PayPal,Annually,5395,2021-08-05,8,2021
2437,52,Male,T-shirt,Clothing,24,BB Kulam,M,Yellow,Fall,2.7,No,Credit Card,Store Pickup,No,No,38,Credit Card,Quarterly,1992,2024-01-09,1,2024
1082,62,Male,Belt,Accessories,30,Iyer Bungalow,XL,Brown,Spring,4.5,No,Cash,Standard,Yes,Yes,45,Credit Card,Annually,2490,2022-08-09,8,2022
3550,44,Female,T-shirt,Clothing,34,Meenakshi Nagar,M,Cyan,Summer,3.4,No,Credit Card,2-Day Shipping,No,No,11,Bank Transfer,Fortnightly,2822,2020-04-24,4,2020
3130,60,Female,Sandals,Footwear,20,KK Nagar,S,Cyan,Summer,4.7,No,PayPal,Express,No,No,40,Venmo,Every 3 Months,1660,2024-09-26,9,2024
545,34,Male,Sandals,Footwear,64,Meenakshi Nagar,S,Yellow,Summer,3.3,Yes,Cash,Standard,Yes,Yes,30,Bank Transfer,Every 3 Months,5312,2021-09-21,9,2021
1399,30,Male,Dress,Clothing,45,Iyer Bungalow,M,Cyan,Summer,2.5,No,Bank Transfer,Free Shipping,Yes,Yes,25,Credit Card,Weekly,3735,2024-03-29,3,2024
3006,18,Female,Shorts,Clothing,65,Ponmeni,XL,Brown,Spring,3.5,No,Bank Transfer,Express,No,No,5,Venmo,Weekly,5395,2022-05-03,5,2022
3711,60,Female,Jewelry,Accessories,40,Meenakshi Nagar,M,Yellow,Summer,3.6,No,PayPal,2-Day Shipping,No,No,32,Bank Transfer,Fortnightly,3320,2024-11-22,11,2024
658,48,Male,Jacket,Outerwear,80,KK Nagar,M,White,Winter,4.3,Yes,PayPal,Free Shipping,Yes,Yes,6,PayPal,Quarterly,6640,2023-10-15,10,2023
2285,32,Male,Blouse,Clothing,63,Thirumangalam,XL,Black,Fall,4.1,No,Cash,Express,No,No,20,Venmo,Annually,5229,2022-10-06,10,2022
2487,61,Male,Jeans,Clothing,58,Anna Nagar,L,Magenta,Spring,4.4,No,Credit Card,Store Pickup,No,No,6,Credit Card,Fortnightly,4814,2022-09-23,9,2022
1419,18,Male,Shirt,Clothing,75,Chinna Chokikulam,M,Violet,Summer,4.1,No,Bank Transfer,2-Day Shipping,Yes,Yes,23,Venmo,Every 3 Months,6225,2023-11-11,11,2023
3506,48,Female,Jewelry,Accessories,42,BB Kulam,L,Red,Winter,3.7,No,Cash,2-Day Shipping,No,No,40,Bank Transfer,Every 3 Months,3486,2022-08-26,8,2022
284,32,Male,Sweater,Clothing,30,Chinna Chokikulam,S,Maroon,Fall,3.2,Yes,Debit Card,Next Day Air,Yes,Yes,16,Venmo,Annually,2490,2023-05-11,5,2023
1902,56,Male,Socks,Clothing,76,Thirumangalam,S,Beige,Winter,3.9,No,Venmo,Store Pickup,No,No,50,Cash,Quarterly,6308,2021-09-24,9,2021
2993,41,Female,Socks,Clothing,64,Anna Nagar,M,Charcoal,Spring,3.9,No,Bank Transfer,Store Pickup,No,No,25,Venmo,Weekly,5312,2023-05-06,5,2023
3481,21,Female,Sandals,Footwear,79,Iyer Bungalow,L,Peach,Winter,3.5,No,Cash,Free Shipping,No,No,45,PayPal,Monthly,6557,2022-04-30,4,2022
2770,32,Female,Shirt,Clothing,89,Palangantham,L,Lavender,Fall,3.0,No,PayPal,Standard,No,No,13,Cash,Weekly,7387,2022-09-13,9,2022
3636,52,Female,Sandals,Footwear,32,Anna Nagar,L,Cyan,Fall,3.3,No,Cash,Free Shipping,No,No,17,Credit Card,Fortnightly,2656,2021-06-13,6,2021
1670,42,Male,T-shirt,Clothing,59,Thirumangalam,L,Maroon,Winter,2.7,No,PayPal,Store Pickup,Yes,Yes,22,Bank Transfer,Quarterly,4897,2023-12-09,12,2023
1757,49,Male,Jewelry,Accessories,55,Meenakshi Nagar,S,Cyan,Fall,2.8,No,PayPal,Free Shipping,No,No,14,Bank Transfer,Weekly,4565,2020-12-08,12,2020
1136,65,Male,Skirt,Clothing,90,Thirumangalam,L,Peach,Winter,3.6,No,PayPal,2-Day Shipping,Yes,Yes,32,Bank Transfer,Quarterly,7470,2024-02-17,2,2024
1130,37,Male,Hoodie,Clothing,65,Palangantham,XL,White,Winter,4.7,No,Credit Card,Express,Yes,Yes,46,Venmo,Fortnightly,5395,2023-10-19,10,2023
2816,33,Female,Blouse,Clothing,67,Chinna Chokikulam,L,Black,Fall,3.9,No,Cash,Free Shipping,No,No,40,Venmo,Every 3 Months,5561,2022-03-08,3,2022
1394,46,Male,Gloves,Accessories,58,Thirumangalam,L,Yellow,Spring,3.9,No,Bank Transfer,Express,Yes,Yes,14,PayPal,Fortnightly,4814,2024-11-22,11,2024
560,66,Male,Scarf,Accessories,41,Anna Nagar,M,Indigo,Fall,2.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,22,Bank Transfer,Monthly,3403,2020-06-01,6,2020
1367,45,Male,Belt,Accessories,40,Ponmeni,M,Magenta,Fall,3.1,No,Debit Card,Free Shipping,Yes,Yes,10,Credit Card,Fortnightly,3320,2024-11-01,11,2024
2857,65,Female,Jacket,Outerwear,48,CS Nagar,M,Indigo,Winter,3.5,No,Debit Card,2-Day Shipping,No,No,31,Credit Card,Monthly,3984,2022-05-08,5,2022
1883,44,Male,Scarf,Accessories,54,Palangantham,L,Blue,Winter,5.0,No,Debit Card,Store Pickup,No,No,25,Bank Transfer,Quarterly,4482,2023-11-20,11,2023
1805,30,Male,Sweater,Clothing,42,Palangantham,L,Peach,Winter,4.4,No,Debit Card,Next Day Air,No,No,39,Credit Card,Weekly,3486,2021-05-05,5,2021
3047,60,Female,Shoes,Footwear,49,Ponmeni,M,White,Spring,3.2,No,Bank Transfer,Store Pickup,No,No,25,Cash,Every 3 Months,4067,2022-02-15,2,2022
861,26,Male,Shoes,Footwear,87,KK Nagar,M,Maroon,Spring,4.1,Yes,Debit Card,Standard,Yes,Yes,3,Cash,Monthly,7221,2021-02-26,2,2021
2751,51,Female,Sandals,Footwear,66,Ponmeni,L,Pink,Spring,2.7,No,Cash,2-Day Shipping,No,No,26,PayPal,Every 3 Months,5478,2022-06-26,6,2022
3131,52,Female,Pants,Clothing,20,Ponmeni,M,Yellow,Summer,4.5,No,PayPal,Store Pickup,No,No,34,Venmo,Every 3 Months,1660,2022-08-01,8,2022
2779,70,Female,Belt,Accessories,57,Thirumangalam,L,Yellow,Spring,3.2,No,Cash,Standard,No,No,24,Credit Card,Bi-Weekly,4731,2022-08-24,8,2022
2771,50,Female,Boots,Footwear,44,CS Nagar,S,Blue,Fall,3.3,No,PayPal,Express,No,No,22,Bank Transfer,Quarterly,3652,2022-10-16,10,2022
727,32,Male,Shorts,Clothing,78,Iyer Bungalow,L,Yellow,Summer,3.6,Yes,PayPal,Next Day Air,Yes,Yes,20,Bank Transfer,Every 3 Months,6474,2022-09-05,9,2022
598,70,Male,Jewelry,Accessories,69,Chinna Chokikulam,L,Gold,Summer,3.4,Yes,Bank Transfer,Standard,Yes,Yes,19,Bank Transfer,Fortnightly,5727,2020-11-27,11,2020
1300,29,Male,Belt,Accessories,23,BB Kulam,L,Teal,Fall,3.6,No,Bank Transfer,2-Day Shipping,Yes,Yes,42,Venmo,Bi-Weekly,1909,2022-11-23,11,2022
3291,52,Female,Coat,Outerwear,82,Chinna Chokikulam,L,Black,Spring,3.1,No,Bank Transfer,Free Shipping,No,No,2,PayPal,Monthly,6806,2022-05-27,5,2022
3803,70,Female,Scarf,Accessories,72,CS Nagar,S,Turquoise,Spring,3.2,No,Bank Transfer,2-Day Shipping,No,No,1,Bank Transfer,Monthly,5976,2023-01-01,1,2023
3507,18,Female,Shirt,Clothing,57,Ponmeni,L,Olive,Winter,3.7,No,Venmo,2-Day Shipping,No,No,12,Cash,Fortnightly,4731,2024-01-28,1,2024
3667,67,Female,Jewelry,Accessories,50,CS Nagar,M,Olive,Winter,3.0,No,Credit Card,2-Day Shipping,No,No,47,Cash,Every 3 Months,4150,2024-06-08,6,2024
1743,51,Male,Sandals,Footwear,80,BB Kulam,XL,White,Spring,4.3,No,Credit Card,Express,No,No,18,Venmo,Every 3 Months,6640,2024-01-13,1,2024
33,36,Male,Jacket,Outerwear,67,BB Kulam,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Annually,5561,2022-08-04,8,2022
2129,62,Male,Coat,Outerwear,47,Chinna Chokikulam,L,Cyan,Fall,2.7,No,PayPal,2-Day Shipping,No,No,21,PayPal,Weekly,3901,2023-04-17,4,2023
1183,37,Male,Jewelry,Accessories,21,Thirumangalam,M,Maroon,Spring,3.8,No,Debit Card,Express,Yes,Yes,45,PayPal,Quarterly,1743,2021-05-12,5,2021
2724,54,Female,Shoes,Footwear,49,CS Nagar,XL,Brown,Summer,2.9,No,Bank Transfer,Store Pickup,No,No,3,PayPal,Every 3 Months,4067,2024-11-15,11,2024
1993,33,Male,Hoodie,Clothing,98,BB Kulam,L,Gold,Winter,4.9,No,PayPal,2-Day Shipping,No,No,28,Venmo,Monthly,8134,2023-12-30,12,2023
378,63,Male,Scarf,Accessories,32,Anna Nagar,M,Silver,Spring,4.1,Yes,Debit Card,Standard,Yes,Yes,39,Credit Card,Every 3 Months,2656,2021-03-19,3,2021
2988,63,Female,Skirt,Clothing,36,Chinna Chokikulam,L,Black,Winter,2.5,No,Debit Card,Store Pickup,No,No,42,Cash,Monthly,2988,2020-02-14,2,2020
615,68,Male,Jewelry,Accessories,85,Chinna Chokikulam,M,Lavender,Winter,4.0,Yes,Cash,Standard,Yes,Yes,21,Credit Card,Bi-Weekly,7055,2022-07-24,7,2022
2835,39,Female,Jacket,Outerwear,43,CS Nagar,M,Indigo,Fall,2.9,No,Credit Card,2-Day Shipping,No,No,17,Credit Card,Weekly,3569,2020-11-29,11,2020
2635,26,Male,Sandals,Footwear,58,Anna Nagar,S,Black,Summer,3.2,No,Cash,Store Pickup,No,No,20,PayPal,Every 3 Months,4814,2023-10-19,10,2023
1749,34,Male,Skirt,Clothing,93,Palangantham,L,Teal,Winter,3.9,No,Bank Transfer,2-Day Shipping,No,No,41,Bank Transfer,Annually,7719,2021-03-22,3,2021
1559,35,Male,Sunglasses,Accessories,75,Chinna Chokikulam,XL,Teal,Fall,3.5,No,Credit Card,Express,Yes,Yes,24,Credit Card,Every 3 Months,6225,2020-04-26,4,2020
704,63,Male,Dress,Clothing,87,Chinna Chokikulam,L,Pink,Summer,3.0,Yes,Debit Card,Standard,Yes,Yes,21,Venmo,Weekly,7221,2022-10-27,10,2022
2729,26,Female,Skirt,Clothing,28,Meenakshi Nagar,M,Pink,Winter,4.0,No,Credit Card,Express,No,No,17,Debit Card,Weekly,2324,2022-08-19,8,2022
2306,68,Male,Handbag,Accessories,63,Palangantham,M,Gold,Summer,2.6,No,Cash,Free Shipping,No,No,47,Cash,Weekly,5229,2022-04-05,4,2022
1796,68,Male,Jeans,Clothing,20,CS Nagar,S,Violet,Fall,4.0,No,Debit Card,2-Day Shipping,No,No,9,Debit Card,Fortnightly,1660,2022-05-21,5,2022
2265,51,Male,Hat,Accessories,92,Iyer Bungalow,M,Turquoise,Summer,3.9,No,Bank Transfer,2-Day Shipping,No,No,50,PayPal,Monthly,7636,2024-06-18,6,2024
3659,28,Female,T-shirt,Clothing,72,Thirumangalam,M,Magenta,Fall,4.6,No,Cash,Standard,No,No,18,PayPal,Fortnightly,5976,2022-04-06,4,2022
1835,49,Male,Skirt,Clothing,35,Thirumangalam,M,Charcoal,Summer,4.1,No,Venmo,2-Day Shipping,No,No,39,Venmo,Fortnightly,2905,2023-11-15,11,2023
3497,39,Female,Shoes,Footwear,38,Ponmeni,M,Pink,Summer,4.0,No,Cash,Free Shipping,No,No,22,PayPal,Monthly,3154,2024-07-15,7,2024
2625,19,Male,Dress,Clothing,59,Iyer Bungalow,M,Indigo,Summer,3.3,No,Debit Card,Standard,No,No,19,Credit Card,Annually,4897,2022-01-23,1,2022
2670,39,Female,Belt,Accessories,28,Anna Nagar,L,Teal,Spring,2.8,No,PayPal,Free Shipping,No,No,31,Credit Card,Weekly,2324,2020-07-15,7,2020
787,70,Male,Hat,Accessories,21,Thirumangalam,S,Teal,Winter,4.8,Yes,Credit Card,Express,Yes,Yes,16,Bank Transfer,Every 3 Months,1743,2021-07-20,7,2021
986,32,Male,Handbag,Accessories,80,Ponmeni,M,Gray,Fall,5.0,Yes,Credit Card,Express,Yes,Yes,12,Bank Transfer,Annually,6640,2020-03-17,3,2020
3553,22,Female,Sunglasses,Accessories,66,KK Nagar,M,Blue,Winter,2.9,No,Credit Card,Next Day Air,No,No,3,PayPal,Quarterly,5478,2022-05-30,5,2022
1363,41,Male,Coat,Outerwear,46,Anna Nagar,M,Gray,Fall,4.3,No,Cash,Express,Yes,Yes,29,Cash,Weekly,3818,2020-06-09,6,2020
3097,69,Female,Shirt,Clothing,63,Ponmeni,L,White,Winter,3.5,No,PayPal,Next Day Air,No,No,20,Bank Transfer,Monthly,5229,2022-11-11,11,2022
1051,48,Male,Sneakers,Footwear,64,CS Nagar,M,Beige,Winter,3.8,Yes,Credit Card,Next Day Air,Yes,Yes,19,Venmo,Monthly,5312,2021-04-03,4,2021
310,66,Male,Dress,Clothing,22,Ponmeni,M,Yellow,Spring,4.5,Yes,Bank Transfer,Standard,Yes,Yes,21,Cash,Fortnightly,1826,2024-05-07,5,2024
2833,29,Female,Scarf,Accessories,37,Iyer Bungalow,M,Magenta,Summer,4.6,No,Cash,Standard,No,No,40,PayPal,Quarterly,3071,2020-01-28,1,2020
3174,69,Female,Skirt,Clothing,46,Palangantham,L,Teal,Summer,4.9,No,Cash,Next Day Air,No,No,32,PayPal,Fortnightly,3818,2024-09-28,9,2024
485,68,Male,Hat,Accessories,73,Meenakshi Nagar,L,Lavender,Summer,4.7,Yes,Credit Card,Free Shipping,Yes,Yes,28,Bank Transfer,Quarterly,6059,2024-10-26,10,2024
2216,25,Male,Sandals,Footwear,96,Thirumangalam,M,Indigo,Winter,2.7,No,Debit Card,Express,No,No,28,Credit Card,Fortnightly,7968,2022-10-02,10,2022
2100,31,Male,T-shirt,Clothing,78,Meenakshi Nagar,L,Green,Summer,2.9,No,Debit Card,Express,No,No,50,PayPal,Annually,6474,2022-08-02,8,2022
754,47,Male,Boots,Footwear,54,Meenakshi Nagar,M,Teal,Fall,3.4,Yes,Credit Card,Store Pickup,Yes,Yes,27,Venmo,Quarterly,4482,2024-11-01,11,2024
1105,35,Male,Hat,Accessories,28,Ponmeni,M,Beige,Fall,3.1,No,Bank Transfer,Express,Yes,Yes,8,Bank Transfer,Quarterly,2324,2022-08-16,8,2022
785,31,Male,Jeans,Clothing,72,Chinna Chokikulam,M,Peach,Winter,3.2,Yes,Debit Card,Store Pickup,Yes,Yes,41,Bank Transfer,Every 3 Months,5976,2023-11-11,11,2023
799,29,Male,Socks,Clothing,39,Meenakshi Nagar,M,Violet,Spring,3.8,Yes,Cash,2-Day Shipping,Yes,Yes,48,PayPal,Every 3 Months,3237,2024-02-19,2,2024
216,62,Male,Scarf,Accessories,64,Anna Nagar,S,Orange,Spring,2.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,24,PayPal,Bi-Weekly,5312,2023-12-21,12,2023
2650,23,Male,Gloves,Accessories,21,Chinna Chokikulam,M,Magenta,Fall,3.9,No,Credit Card,Store Pickup,No,No,14,Bank Transfer,Fortnightly,1743,2020-06-19,6,2020
1119,49,Male,Belt,Accessories,65,Thirumangalam,M,Purple,Summer,4.9,No,Debit Card,Standard,Yes,Yes,11,PayPal,Every 3 Months,5395,2022-04-25,4,2022
835,52,Male,Backpack,Accessories,89,KK Nagar,M,Indigo,Summer,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,18,Credit Card,Weekly,7387,2020-07-30,7,2020
1423,44,Male,Dress,Clothing,27,Palangantham,L,Charcoal,Fall,3.4,No,PayPal,Free Shipping,Yes,Yes,3,PayPal,Bi-Weekly,2241,2022-01-11,1,2022
3837,62,Female,Skirt,Clothing,84,CS Nagar,M,Violet,Spring,2.5,No,Venmo,Free Shipping,No,No,38,PayPal,Fortnightly,6972,2021-08-14,8,2021
3044,45,Female,Belt,Accessories,98,CS Nagar,S,Peach,Fall,2.6,No,Debit Card,Store Pickup,No,No,17,Credit Card,Monthly,8134,2024-07-21,7,2024
